Date,y,Dp,q,epepsus,epeps,r,lr,ys,Dps,qs,rs,lrs,rpoil,poil,p,ps,e,es,ep,eps,pus
1979Q2,4.178455778,0.023574783,-1.719534311,-0.328822276,-1.567821001,0.020459408,0.02388838,3.934810978,0.036985636,-1.235454028,0.021079919,0.02311148,-0.292830262,3.432911357,3.654331772,2.521127858,-0.400232123,0.034384964,-4.054563895,-2.486742894,3.725741619
1979Q3,4.186601724,0.024671258,-1.695124973,-0.355691242,-1.569301854,0.022397902,0.024775146,3.938306817,0.043331133,-1.266951414,0.025855352,0.023500482,-0.181668663,3.576550269,3.679003031,2.564458991,-0.434907143,0.019850671,-4.113910174,-2.54460832,3.758218932
1979Q4,4.19763262,0.025968147,-1.744666603,-0.368142684,-1.601004327,0.025287587,0.025919948,3.950041816,0.031978546,-1.284183482,0.02810197,0.026208659,-0.089864122,3.697178257,3.704971178,2.596437536,-0.450213885,0.0422568,-4.155185063,-2.554180736,3.787042379
1980Q1,4.206527369,0.035581961,-1.744260691,-0.3610444,-1.599041605,0.028192964,0.028104209,3.958246778,0.046227568,-1.291438716,0.030879988,0.028126302,-0.16383699,3.661422608,3.740553139,2.642665104,-0.445750859,0.055402711,-4.186303998,-2.587262393,3.825259598
1980Q2,4.200023989,0.025473914,-1.771701313,-0.326821006,-1.559730518,0.030276891,0.028788723,3.947304586,0.045379795,-1.321619569,0.031059588,0.026896146,-0.217439043,3.643271721,3.766027053,2.6880449,-0.421504717,0.060243648,-4.18753177,-2.627801252,3.860710763
1980Q3,4.196116074,0.024217129,-1.71856257,-0.346507338,-1.554946409,0.028644147,0.028533013,3.951378876,0.025794291,-1.262238021,0.028456842,0.02673433,-0.329828706,3.549617387,3.790244182,2.713839191,-0.435709249,0.042832168,-4.225953432,-2.671007023,3.879446093
1980Q4,4.195744866,0.02565125,-1.670394346,-0.276359495,-1.493359906,0.029065542,0.029942157,3.95640791,0.030172092,-1.234506935,0.031421371,0.027861813,-0.225611823,3.679670515,3.815895433,2.744011283,-0.365746401,0.055729355,-4.181641833,-2.688281928,3.905282338
1981Q1,4.19579263,0.032595859,-1.651597339,-0.190069282,-1.431988255,0.029465714,0.03126748,3.962429356,0.032550478,-1.260867885,0.033352309,0.028736982,-0.264804338,3.666548634,3.848491292,2.77656176,-0.272930963,0.087127761,-4.121422254,-2.689433999,3.931352972
1981Q2,4.201698853,0.027296044,-1.633599632,-0.094981246,-1.386719636,0.034431006,0.034157116,3.966274557,0.032372622,-1.235999942,0.032899175,0.029693077,-0.392958944,3.561330133,3.875787336,2.808934383,-0.173482987,0.146383696,-4.049270323,-2.662550687,3.954289077
1981Q3,4.203599877,0.025263462,-1.691768904,-0.023841486,-1.37303132,0.03598786,0.035605718,3.97746664,0.03050956,-1.287785823,0.037040611,0.031443735,-0.410442864,3.5720647,3.901050798,2.839443943,-0.105298252,0.206126213,-4.00634905,-2.633317729,3.982507564
1981Q4,4.204249867,0.026208203,-1.776650647,-0.083267156,-1.412933518,0.034070795,0.034500539,3.977055327,0.021820224,-1.358447862,0.035598383,0.031100245,-0.391603623,3.605135461,3.927259,2.861264167,-0.152747239,0.194191445,-4.08000624,-2.667072722,3.996739084
1982Q1,4.207570729,0.02612114,-1.763292909,-0.049611449,-1.393708594,0.032484946,0.033686273,3.974153856,0.023704799,-1.382101643,0.034711193,0.030081518,-0.531174576,3.47372474,3.953380141,2.884968965,-0.101130625,0.224166794,-4.054510765,-2.660802171,4.004899317
1982Q2,4.207962629,0.023173534,-1.794079227,-0.023220658,-1.393261193,0.033002984,0.033017878,3.981146714,0.025976477,-1.412121896,0.034684608,0.02904505,-0.484951483,3.535145354,3.976553674,2.910945442,-0.06676382,0.260889141,-4.043317495,-2.650056301,4.020096837
1982Q3,4.202903295,0.02064907,-1.875084658,0.033398335,-1.381603593,0.030623728,0.032763228,3.979395153,0.023504642,-1.423995649,0.032545425,0.02739813,-0.524302262,3.514526067,3.997202745,2.934450084,-0.008227249,0.310623683,-4.005429994,-2.623826401,4.038828329
1982Q4,4.203823748,0.020031427,-1.857097995,0.039810617,-1.392984709,0.029547224,0.031461665,3.983358894,0.020053923,-1.326281773,0.031634855,0.024476106,-0.528834148,3.512042828,4.017234172,2.954504007,0.016167813,0.346422357,-4.001066359,-2.60808165,4.040876976
1983Q1,4.210045653,0.020893266,-1.776634014,0.00116951,-1.436407664,0.027254946,0.029598173,3.992172749,0.019424849,-1.24651126,0.03148289,0.024365338,-0.659993877,3.38042762,4.038127438,2.973928856,-0.001124549,0.371084534,-4.039251987,-2.602844323,4.040421497
1983Q2,4.218019416,0.017820994,-1.686596977,0.048080285,-1.397750308,0.026940001,0.02926464,4.007078485,0.024137797,-1.161995415,0.033367517,0.023699642,-0.656998954,3.395849775,4.055948432,2.998066654,0.051179988,0.391048517,-4.004768444,-2.607018137,4.05284873
1983Q3,4.220961978,0.017033602,-1.66056635,0.106741076,-1.358758274,0.027168773,0.029580999,4.021284174,0.022881668,-1.136778714,0.032817399,0.02471406,-0.63835859,3.426431853,4.072982034,3.020948322,0.114932668,0.421657229,-3.958049367,-2.599291093,4.064790443
1983Q4,4.230485473,0.018365283,-1.631887582,0.119247216,-1.352559751,0.026721762,0.029424565,4.036920461,0.025488309,-1.150444629,0.032690318,0.024319417,-0.701293388,3.372111801,4.091347317,3.04643663,0.137189344,0.444838408,-3.954157973,-2.601598222,4.073405189
1984Q1,4.239292266,0.018875938,-1.561122353,0.124065112,-1.362114481,0.025794686,0.028393727,4.053494164,0.024483871,-1.109181785,0.033634227,0.024267549,-0.691182106,3.393053197,4.110223255,3.070920501,0.150053065,0.472864793,-3.96017019,-2.598055708,4.084235302
1984Q2,4.234031807,0.013822869,-1.574603743,0.123046765,-1.372388802,0.024736938,0.028054938,4.058687272,0.027983165,-1.110116017,0.033515833,0.025493569,-0.708065769,3.387098457,4.124046124,3.098903666,0.151928663,0.499175007,-3.972117461,-2.599728659,4.095164226
1984Q3,4.244295743,0.01085088,-1.573038871,0.196263616,-1.349366374,0.024444304,0.027242939,4.06791886,0.023399113,-1.139118609,0.038531038,0.025627052,-0.77069328,3.335176281,4.134897004,3.122302779,0.22529106,0.562063209,-3.909605944,-2.56023957,4.10586956
1984Q4,4.248714842,0.013374361,-1.538939157,0.234068218,-1.343735214,0.024418757,0.025579086,4.077283096,0.025915824,-1.115539157,0.037057932,0.024438918,-0.797065694,3.31612352,4.148271365,3.148218603,0.269150369,0.61283282,-3.879120996,-2.535385783,4.113189214
1985Q1,4.251786335,0.017841904,-1.447239007,0.285944683,-1.336582845,0.023744015,0.024354871,4.089649671,0.027942508,-1.057938208,0.039832712,0.024820212,-0.795525154,3.32419634,4.166113269,3.17616111,0.332336459,0.678967144,-3.833776811,-2.497193966,4.119721493
1985Q2,4.261273093,0.014352746,-1.373265277,0.237525684,-1.345790585,0.023362048,0.024323778,4.099831032,0.031378741,-1.04162205,0.040681218,0.024148699,-0.834673719,3.29694736,4.180466015,3.207539852,0.28637062,0.659235041,-3.894095395,-2.54830481,4.131621079
1985Q3,4.270496562,0.005246213,-1.30958195,0.173066795,-1.378783756,0.021791612,0.023766788,4.110737243,0.017332754,-1.014666997,0.033541152,0.023446642,-0.832440614,3.306520335,4.185712228,3.224872606,0.219818074,0.637762208,-3.965894154,-2.587110398,4.138960949
1985Q4,4.276507121,0.009442388,-1.182558713,0.085474857,-1.436225244,0.020625448,0.0229774,4.119706141,0.021570548,-0.9636234,0.033923128,0.023047984,-0.803374304,3.344509445,4.195154616,3.246443154,0.132745724,0.620259505,-4.062408892,-2.626183648,4.147883749
