"FREQ","Frequency","BORROWERS_CTY","Borrowers' country","TC_BORROWERS","Borrowing sector","TC_LENDERS","Lending sector","VALUATION","Valuation","UNIT_TYPE","Unit type","TC_ADJUST","Type of adjustment","Time Period","1940-Q2","1940-Q3","1940-Q4","1941-Q1","1941-Q2","1941-Q3","1941-Q4","1942-Q1","1942-Q2","1942-Q3","1942-Q4","1943-Q1","1943-Q2","1943-Q3","1943-Q4","1944-Q1","1944-Q2","1944-Q3","1944-Q4","1945-Q1","1945-Q2","1945-Q3","1945-Q4","1946-Q1","1946-Q2","1946-Q3","1946-Q4","1947-Q1","1947-Q2","1947-Q3","1947-Q4","1948-Q1","1948-Q2","1948-Q3","1948-Q4","1949-Q1","1949-Q2","1949-Q3","1949-Q4","1950-Q1","1950-Q2","1950-Q3","1950-Q4","1951-Q1","1951-Q2","1951-Q3","1951-Q4","1952-Q1","1952-Q2","1952-Q3","1952-Q4","1953-Q1","1953-Q2","1953-Q3","1953-Q4","1954-Q1","1954-Q2","1954-Q3","1954-Q4","1955-Q1","1955-Q2","1955-Q3","1955-Q4","1956-Q1","1956-Q2","1956-Q3","1956-Q4","1957-Q1","1957-Q2","1957-Q3","1957-Q4","1958-Q1","1958-Q2","1958-Q3","1958-Q4","1959-Q1","1959-Q2","1959-Q3","1959-Q4","1960-Q1","1960-Q2","1960-Q3","1960-Q4","1961-Q1","1961-Q2","1961-Q3","1961-Q4","1962-Q1","1962-Q2","1962-Q3","1962-Q4","1963-Q1","1963-Q2","1963-Q3","1963-Q4","1964-Q1","1964-Q2","1964-Q3","1964-Q4","1965-Q1","1965-Q2","1965-Q3","1965-Q4","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2"
"Q","Quarterly","4T","Emerging market economies","C","Non financial sector","A","All sectors","M","Market value","770","Percentage of GDP","A","Adjusted for breaks","Q:4T:C:A:M:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.5","113.7","116.4","116","120","121.1","126.1","126.3","124.1","123.9","119.5","119.2","122.2","119.4","116.5","115.2","114.1","115.8","114.5","114.4","116","117.3","119.3","120.3","119.7","118.9","117.4","108.7","106.1","112.9","128.4","139.8","140.1","137.5","133.6","137.6","137.4","137.9","137.5","128.8","129.8","134.5","134.1","139.9","143","146.2","146","148.7","151","153.3","158.5","156.7","156.3","159.2","165.1","164.2","168","178.4","179.9","182.2","177.3","182.7","184.2","186.1","187.1","194.5","182.9"
"Q","Quarterly","4T","Emerging market economies","C","Non financial sector","A","All sectors","M","Market value","799","Percentage of GDP (using PPP exchange rates)","A","Adjusted for breaks","Q:4T:C:A:M:799:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.6","111.6","115.3","118.8","119.1","116","117.1","118.7","118.4","115","115","114.9","114.9","111.5","110.4","110.5","111.3","109.9","110.8","110.8","111.2","109.1","110.9","112.5","112.8","108.6","109.6","111","115","120.1","125.2","129.7","131.3","126.5","128.8","130.3","131.8","127.1","128.6","130.3","132.6","131.6","134.5","136.3","139.4","140.9","144.1","146.7","148.5","150","152.3","153.6","156.8","158","160","162.3","164.9","166.6","167.5","168.7","169.7","170","170.3","170.9","171","175.3","175.9"
"Q","Quarterly","4T","Emerging market economies","C","Non financial sector","A","All sectors","M","Market value","USD","US Dollar","A","Adjusted for breaks","Q:4T:C:A:M:USD:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6695.841","6894.06","7123.916","7163.276","7492.864","7693.354","8202.978","8485.629","8674.138","9052.391","9066.914","9382.969","10048.356","10243.046","10447.578","10808.765","11140.264","11780.5","12114.334","12566.822","13258.614","13961.305","14923.532","15840.153","16751.36","17694.743","18545.496","18079.46","17518.061","18010.836","19821.598","21145.398","22041.834","23012.642","23500.021","25240.205","26312.765","27677.909","29112.904","28563.352","29482.914","31219.982","31320.614","32874.353","34235.196","35587.821","36273.758","37534.57","38675.966","39496.611","41232.085","41357.477","41236.22","41674.743","42841.386","41743.733","42100.506","44255.606","44496.77","45439.803","44774.758","47212.686","48556.278","50338.61","52137.015","56127.94","54152.599"
"Q","Quarterly","4T","Emerging market economies","G","General government","A","All sectors","N","Nominal value","770","Percentage of GDP","A","Adjusted for breaks","Q:4T:G:A:N:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2","41.7","41.9","41.6","43.1","43.7","45.8","45.8","45.1","45","42.8","42.8","43.9","42.8","41.3","40.3","39.3","39.3","37.9","37.4","37.5","37.7","38.1","37.9","37.7","36.5","35.8","32","31.1","32.6","37.8","41.7","42.3","41.2","39.7","40.8","40.3","40.2","39.9","36.4","36.1","37.3","36.5","37.7","38.1","38.5","37.6","37.8","38.4","39","40.2","39.3","39.2","39.4","40.9","40.5","41.5","44.4","45.5","46.3","45.5","47.1","47.7","48.3","48.7","49.4","46.6"
"Q","Quarterly","4T","Emerging market economies","G","General government","A","All sectors","N","Nominal value","799","Percentage of GDP (using PPP exchange rates)","A","Adjusted for breaks","Q:4T:G:A:N:799:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3","46.4","48.2","50.1","50","47.5","47.3","47.9","47.6","45.4","45.3","45.1","44.7","42.8","41.6","41","41.1","39.3","38.9","38.4","38","36.8","37","37","37","34.5","34.3","34.1","35.8","36.3","37.9","39.5","40.4","38.4","38.8","38.9","39","37.4","37.7","38.1","38.5","37.5","38.1","38.3","38.9","38.4","39","39.7","40.4","40.1","40.5","41","41.9","41.9","42.5","43.5","44.3","44.4","45","45.6","46.2","46","46.6","47","47.5","47.5","48.3"
"Q","Quarterly","4T","Emerging market economies","G","General government","A","All sectors","N","Nominal value","USD","US Dollar","A","Adjusted for breaks","Q:4T:G:A:N:USD:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497.075","2531.99","2563.882","2570.41","2691.743","2779.743","2981.484","3077.661","3156.185","3285.29","3249.012","3372.67","3607.761","3670.97","3706.281","3778.732","3838.071","4000.6","4005.967","4110.416","4281.276","4488.277","4767.598","4994.346","5277.589","5435.4","5654.445","5317.802","5136.13","5195.51","5828.529","6304.14","6652.652","6898.027","6985.919","7475.748","7714.613","8069.267","8446.605","8065.728","8197.05","8656.134","8523.354","8865.003","9129.811","9362.414","9338.716","9543.068","9843.378","10036.173","10444.92","10369.722","10348.57","10305.177","10622.419","10300.676","10401.531","11008.321","11246.695","11555.939","11480.559","12167.518","12582.368","13077.169","13571.517","14249.21","13801.404"
"Q","Quarterly","4T","Emerging market economies","H","Households & NPISHs","A","All sectors","M","Market value","770","Percentage of GDP","A","Adjusted for breaks","Q:4T:H:A:M:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","22.7","20.9","19.7","20.2","23.2","25.6","25.9","25.9","25.2","26.5","26.8","26.9","27.1","25.2","25.4","26.2","26.1","27.5","28.2","28.6","28.7","29.4","29.8","30.1","31.2","30.7","30.3","30.5","31.7","31.5","32.4","34.5","35.5","36.7","36","37.4","38.2","39.2","40","40.8","38.7"
"Q","Quarterly","4T","Emerging market economies","H","Households & NPISHs","A","All sectors","M","Market value","799","Percentage of GDP (using PPP exchange rates)","A","Adjusted for breaks","Q:4T:H:A:M:799:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4","19.7","19.9","20.2","20.4","21.2","22.2","22.7","22.5","23.1","23.7","24.2","23.5","24","24.3","24.7","24.5","25","25.6","26.2","26.4","27.2","27.8","28.1","28.2","28.6","28.9","29.4","29.3","29.8","30.3","30.8","31.1","31.8","32.6","33.2","33.4","34","34.7","35","35.3","35.7"
"Q","Quarterly","4T","Emerging market economies","H","Households & NPISHs","A","All sectors","M","Market value","USD","US Dollar","A","Adjusted for breaks","Q:4T:H:A:M:USD:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3437.86","3591.706","3467.89","3259.053","3217.432","3573.555","3876.389","4081.652","4338.92","4431.912","4863.896","5124.282","5403.994","5733.721","5578.526","5778.591","6079.793","6098.056","6451.184","6753.33","6950.131","7116.615","7417.084","7632.311","7750.993","8103.507","8098.974","7993.498","7975.348","8235.602","8008.432","8122.078","8560.611","8779.819","9162.578","9089.575","9656.252","10066.552","10610.638","11143.965","11765.641","11470.134"
"Q","Quarterly","4T","Emerging market economies","N","Non-financial corporations","A","All sectors","M","Market value","770","Percentage of GDP","A","Adjusted for breaks","Q:4T:N:A:M:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1","58.7","55.7","54.9","59.8","67.1","72","71.4","69.9","68.3","69.9","69.9","70.4","70.2","67","68","70.6","71.1","74.3","76.1","78.8","79.5","81.2","82.5","84","86.9","86.4","86.4","88.9","92.1","91.9","93.8","99.1","98.6","98.8","95.6","98","98","98.3","98.1","104.1","97.3"
